id,so,so_date,so_del_date,code,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer
,17021085,04/24/2018,06/20/2018,FB47211301EX,1865,1,1865,,4.92,USD,Delta Int Trade
,17021085,04/24/2018,06/20/2018,FB47411301EX,1706,1,1706,,4.92,USD,Delta Int Trade
,17021292,05/11/2018,06/21/2018,FB23020000EX,100,1,100,,61.2,USD,Energy Ventures
,RDPJun-w3,03/07/2018,06/21/2018,FB15005013,677,1,677,,,USD,Domestic
,RDPJun-w3,03/14/2018,06/21/2018,FC250C10N,115,1,115,,,USD,Domestic
,RDPJun-w3,04/14/2018,06/21/2018,FB226010,700,1,700,,0,USD,Domestic
,RDPJun-w3,04/14/2018,06/21/2018,FB226010,300,1,300,,0,USD,Domestic
,Jun-plan,04/15/2018,06/25/2018,FB050025A0EX,296,1,296,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FB050050A0EX,551,1,551,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FB050100A0EX,1342,1,1342,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FB04012000EX,59,1,59,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FB23005001MN,631,1,631,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FB23010001MN,528,1,528,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FM05304000MN,0,1,0,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FM06304000MN,0,1,0,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FM06404000MN,155,1,155,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FM05904000MN,2,1,2,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FC25010000MN,950,1,950,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FC25015000MN,471,1,471,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FC25020000MN,1970,1,1970,,0,USD,Myanmar
,Jun-plan,04/15/2018,06/25/2018,FB23020000EX,1636,1,1636,,0,USD,Myanmar
,17021140,05/17/2018,06/26/2018,FB24510000EX,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN"
,17021140,05/17/2018,06/26/2018,FB248100H0EX,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN"
,17021140,05/17/2018,06/26/2018,FB246100W0EX,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN"
,17021140,05/17/2018,06/26/2018,FB24910000CA,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN"
,17021141,05/17/2018,06/26/2018,FB24510000EX,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN"
,17021141,05/17/2018,06/26/2018,FB248100H0EX,454,1,454,,16.56,USD,"IBRAGIM, TURKMENISTAN"
,17021141,05/17/2018,06/26/2018,FB246100W0EX,463,1,463,,16.56,USD,"IBRAGIM, TURKMENISTAN"
,17021141,05/17/2018,06/26/2018,FB24910000CA,475,1,475,,16.56,USD,"IBRAGIM, TURKMENISTAN"
,17021086,04/27/2018,06/27/2018,FB28004300EX,1080,1,1080,,12.57,USD,NWI
,17021086,04/27/2018,06/27/2018,FB30004300EX,648,1,648,,12.57,USD,NWI
,17021086,04/27/2018,06/27/2018,FB43204300EX,224,1,224,,21.92,USD,NWI
,17021086,04/27/2018,06/27/2018,FB280043C0EX,560,1,560,,15.53,USD,NWI
,17021144,05/21/2018,06/27/2018,FB43102400EX,100,1,100,,48.91,USD,NWI
,17021144,05/21/2018,06/27/2018,FB28001701EX,672,1,672,,38.22,USD,NWI
,17021144L1,05/21/2018,06/27/2018,FB43102400EX,300,1,300,,48.91,USD,NWI
,17021136,05/03/2018,06/28/2018,FC25010000QT,800,1,800,,0,USD,Qatar
,17021136,05/03/2018,06/28/2018,FC25020000QT,1600,1,1600,,0,USD,Qatar
,17021136,05/03/2018,06/28/2018,FC22415001QT,400,1,400,,0,USD,Qatar
,17021136,05/03/2018,06/28/2018,FC22315001QT,200,1,200,,0,USD,Qatar
,17021136,05/03/2018,06/28/2018,FC22515001QT,217,1,217,,0,USD,Qatar
,17021136,05/03/2018,06/28/2018,FC22115001QT,600,1,600,,0,USD,Qatar
,17021136,05/03/2018,06/28/2018,FC22215001QT,500,1,500,,0,USD,Qatar
,17021289,05/03/2018,06/28/2018,FB30518101EX,1000,1,1000,,9.36,USD,United Exchange Corporation
,17021289,05/03/2018,06/28/2018,FB30418102EX,2332,1,2332,,9.36,USD,United Exchange Corporation
,4501658270,05/15/2018,06/30/2018,FB251100C0UK,112,1,112,,,USD,UK
,RDPJun-w4,03/07/2018,06/30/2018,FB150C10,2000,1,2000,,,USD,Domestic
,17021103L1,07/02/2018,07/07/2018,FB24312000EX,1616,1,1616,,16,USD,Olman LLC
,4501659316L1,05/17/2018,07/07/2018,FM01102500GC,1000,1,1000,,,USD,Naturalle LLC
,RDPJul-W1,03/14/2018,07/07/2018,FB226C1001,482,1,482,,,USD,Domestic
,RDPJul-w1,03/14/2018,07/07/2018,FB138C5001,737,1,737,,0,USD,Domestic
,RDPJul-w1,06/07/2018,07/07/2018,FB150C10,1119,1,1119,,,USD,Domestic
,RDPJul-w1,06/07/2018,07/07/2018,FC250C20N,4049,1,4049,,,USD,Domestic
,17021087,05/05/2018,07/09/2018,FB28004300EX,1296,1,1296,,12.57,USD,NWI
,17021087,05/05/2018,07/09/2018,FB28002400EX,480,1,480,,48.64,USD,NWI
,17021088,05/05/2018,07/10/2018,FB29904300EX,648,1,648,,17.51,USD,NWI
,17021088,05/05/2018,07/10/2018,FB29907800EX,324,1,324,,27.91,USD,NWI
,17021088,05/05/2018,07/10/2018,FB29902400EX,198,1,198,,65.76,USD,NWI
,17021088,05/05/2018,07/10/2018,FB29902401EX,192,1,192,,67.21,USD,NWI
,17021088,05/05/2018,07/10/2018,FB29900401EX,200,1,200,,27.22,USD,NWI
,17021291,05/11/2018,07/10/2018,FB24002400EX,270,1,270,,45,USD,Amercare
,17021291,05/11/2018,07/10/2018,FB24008500EX,700,1,700,,21,USD,Amercare
,17021146,05/22/2018,07/14/2018,FB05005000AF,100,1,100,,,USD,EXCLUSIVE EQUIPMENTS KENYA
,RDPJul-w2,04/07/2018,07/14/2018,FB100C5001,750,1,750,,0,USD,Domestic
,RDPJul-w2,05/07/2018,07/14/2018,FB226010,50,1,50,,,USD,Domestic
,17021235,05/09/2018,07/16/2018,FB39102800EX,192,1,192,,19.66,USD,NWI
,17021235,05/09/2018,07/16/2018,FB39108500EX,504,1,504,,21.17,USD,NWI
,17021235,05/09/2018,07/16/2018,FB32702400EX,216,1,216,,16.99,USD,NWI
,17021235,05/09/2018,07/16/2018,FB43213000EX,240,1,240,,10.71,USD,NWI
,17021235,05/09/2018,07/16/2018,FB43200800EX,179,1,179,,37,USD,NWI
,17021235,05/09/2018,07/16/2018,FB29904300EX,216,1,216,,17.51,USD,NWI
,17021235,05/09/2018,07/16/2018,FB29907800EX,187,1,187,,27.91,USD,NWI
,17021235,05/09/2018,07/16/2018,FB28013000EX,360,1,360,,14.51,USD,NWI
,17021235,05/09/2018,07/16/2018,FB280078C0EX,210,1,210,,23.97,USD,NWI
,17021145,05/21/2018,07/20/2018,FB160150GCZ,554,1,554,,38.22,USD,Mattes Trading
,17021145,05/21/2018,07/20/2018,FB262100W0EX,543,1,543,,38.22,USD,Mattes Trading
,4501661060,05/22/2018,07/20/2018,FC22302000EX,100,1,100,,,USD,NATURELLE 
,4501661060,05/22/2018,07/20/2018,FC22701700EX,100,1,100,,,USD,NATURELLE 
,4501662780,05/26/2018,07/20/2018,FM01205000GC,300,1,300,,,USD,"NATURALLE LLC, UAE"
,4501662780,05/26/2018,07/20/2018,FM01210000GC,500,1,500,,,USD,"NATURALLE LLC, UAE"
,4501662780,05/26/2018,07/20/2018,FM02205000GC,380,1,380,,,USD,"NATURALLE LLC, UAE"
,4501662780,05/26/2018,07/20/2018,FM02210000GC,332,1,332,,,USD,"NATURALLE LLC, UAE"
,17021134,04/20/2018,07/21/2018,FB05005000AF,88,1,88,,22.2,USD,"KIBOKO ENTERPRISES, UGANDA"
,17021134,04/20/2018,07/21/2018,FB04106000AF,20,1,20,,31.2,USD,"KIBOKO ENTERPRISES, UGANDA"
,17021134,04/20/2018,07/21/2018,FB04112000AF,0,1,0,,29.1,USD,"KIBOKO ENTERPRISES, UGANDA"
,17021135,04/20/2018,07/21/2018,FB05002500AF,167,1,167,,20.6,USD,"KIBOKO ENTERPRISES, UGANDA"
,17021135,04/20/2018,07/21/2018,FB04508000AF,0,1,0,,19.4,USD,"KIBOKO ENTERPRISES, UGANDA"
,4501668638,06/07/2018,07/21/2018,FB23010000UK,351,1,351,,,USD,UK
,4501669771,06/21/2018,07/21/2018,FB05005000AF,1400,1,1400,,,USD,Nigeria
,17021103L2,07/02/2018,07/21/2018,FB24312000EX,1780,1,1780,,16,USD,Olman LLC
,RDPJul-w3,06/07/2018,07/21/2018,FC250C20N,6000,1,6000,,,USD,Domestic
,17020928,02/19/2018,07/23/2018,FR19536800EX,1098,1,1098,,31.14,USD,NWI
,17021215,05/14/2018,07/23/2018,FB28311300EX,2700,1,2700,,22.56,USD,Keefe
,17021224,03/20/2018,07/23/2018,FB28001700EX,420,1,420,,41.08,USD,NWI
,17021240,05/18/2018,07/23/2018,FB28004300EX,504,1,504,,12.57,USD,NWI
,17021240,05/18/2018,07/23/2018,FB280078C0EX,210,1,210,,23.97,USD,NWI
,17021240,05/18/2018,07/23/2018,FB30007800EX,252,1,252,,21.11,USD,NWI
,17021240,05/18/2018,07/23/2018,FB30002400EX,456,1,456,,48.64,USD,NWI
,17021293,05/11/2018,07/23/2018,FB23010000FR,335,1,335,,67.68,USD,Kerala Nature
,17021224L1,03/20/2018,07/23/2018,FB38905900EX,300,1,300,,10.5,USD,NWI
,17021224L2,03/20/2018,07/23/2018,FB38905900EX,200,1,200,,10.5,USD,NWI
,17021224L3,03/20/2018,07/23/2018,FB38911800EX,400,1,400,,9.5,USD,NWI
,17021224L4,03/20/2018,07/23/2018,FB38911800EX,600,1,600,,9.5,USD,NWI
,17021149,05/29/2018,07/24/2018,FB50512500EX,348,1,348,,26.1,USD,Dtales
,17021237,05/17/2018,07/25/2018,FB89602100EX,132,1,132,,69.12,USD,Logwood Company
,17021296,05/26/2018,07/25/2018,FB32702400EX,324,1,324,,16.99,USD,NWI
,17021296,05/26/2018,07/25/2018,FB29900401EX,300,1,300,,27.22,USD,NWI
,17021296,05/26/2018,07/25/2018,FB29904301EX,216,1,216,,17.76,USD,NWI
,17021296,05/26/2018,07/25/2018,FB29901700EX,280,1,280,,61,USD,NWI
,17021296,05/26/2018,07/25/2018,FB29913000EX,200,1,200,,17.67,USD,NWI
,17021296,05/26/2018,07/25/2018,FB29907800EX,216,1,216,,27.91,USD,NWI
,17021296,05/26/2018,07/25/2018,FB43202400EX,288,1,288,,14.36,USD,NWI
,17021296,05/26/2018,07/25/2018,FB43202401EX,230,1,230,,14.36,USD,NWI
,17021296,05/26/2018,07/25/2018,FB29904300EX,270,1,270,,17.51,USD,NWI
,17021297,05/26/2018,07/25/2018,FB28002400EX,504,1,504,,48.64,USD,NWI
,17021297,05/26/2018,07/25/2018,FB30007800EX,210,1,210,,21.11,USD,NWI
,17021297,05/26/2018,07/25/2018,FB30002400EX,288,1,288,,48.64,USD,NWI
,Jul-plan,06/15/2018,07/25/2018,FB050025A0EX,0,1,0,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FB050050A0EX,0,1,0,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FB050100A0EX,0,1,0,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FB04012000EX,0,1,0,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FB23005001MN,289,1,289,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FB23010001MN,308,1,308,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FM05304000MN,0,1,0,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FM06304000MN,0,1,0,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FM06404000MN,33,1,33,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FM05904000MN,0,1,0,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FC25010000MN,84,1,84,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FC25015000MN,55,1,55,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FC25020000MN,344,1,344,,,USD,Myanmar
,Jul-plan,06/15/2018,07/25/2018,FB23020000EX,482,1,482,,,USD,Myanmar
,4501659316L2,05/17/2018,07/28/2018,FM01102500GC,1000,1,1000,,18.72,USD,Naturalle LLC
,17021673,07/23/2018,07/30/2018,FB05005000AF,86,1,86,,,USD,EXCLUSIVE EQUIPMENTS KENYA
,17021103L3,07/02/2018,07/30/2018,FB24312000EX,3560,1,3560,,16,USD,Olman LLC
,RDPJul-w4,03/07/2018,07/31/2018,FB15005013,911,1,911,,,USD,Domestic
,RDPJul-w4,06/07/2018,07/31/2018,FC250C50N,2000,1,2000,,,USD,Domestic
,17021290,05/03/2018,08/02/2018,FB51411700EX,563,1,563,,179,USD,AUROMERE INC.
,17021290,05/03/2018,08/02/2018,FB51211700EX,216,1,216,,180,USD,AUROMERE INC.
,17021241,06/02/2018,08/06/2018,FB28007800EX,210,1,210,,21.11,USD,NWI
,17021241,06/02/2018,08/06/2018,FB28013000EX,270,1,270,,14.51,USD,NWI
,17021241,06/02/2018,08/06/2018,FB28001701EX,608,1,608,,38.22,USD,NWI
,17021241,06/02/2018,08/06/2018,FB55102400EX,198,1,198,,77.18,USD,NWI
,17021097L1,06/15/2018,08/06/2018,FB30307500EX,4320,1,4320,,11.16,USD,Ellipse
,17021097L2,06/15/2018,08/06/2018,FB30307500EX,4320,1,4320,,11.16,USD,Ellipse
,17021242,06/05/2018,08/07/2018,FB43208500EX,588,1,588,,18.9,USD,NWI
,17021242,06/05/2018,08/07/2018,FB29904300EX,864,1,864,,17.51,USD,NWI
,17021242,06/05/2018,08/07/2018,FB29902400EX,198,1,198,,65.76,USD,NWI
,17021242,06/05/2018,08/07/2018,FB39108500EX,216,1,216,,21.17,USD,NWI
,17021242,06/05/2018,08/07/2018,FB29907800EX,216,1,216,,27.91,USD,NWI
,17021243,06/05/2018,08/07/2018,FB28018100EX,600,1,600,,15.4,USD,NWI
,17021243,06/05/2018,08/07/2018,FB28002400EX,461,1,461,,48.64,USD,NWI
,17021243,06/05/2018,08/07/2018,FB30805600EX,216,1,216,,55.4,USD,NWI
,17021243,06/05/2018,08/07/2018,FB30806800EX,240,1,240,,64.8,USD,NWI
,17021098L1,06/15/2018,08/07/2018,FB26802400EX,496,1,496,,34.56,USD,Quantum
,17021098L2,06/15/2018,08/07/2018,FB26802400EX,496,1,496,,34.56,USD,Quantum
,17021103L4,07/02/2018,08/07/2018,FB24312000EX,3560,1,3560,,16,USD,Olman LLC
,RDPAug-w1,06/07/2018,08/07/2018,FB150C10,1000,1,1000,,,USD,Domestic
,RDPAug-w1,06/07/2018,08/07/2018,FC250C20N,1492,1,1492,,180,USD,Domestic
,RDPAug-W1,07/07/2018,08/07/2018,FB226C1001,500,1,500,,,USD,Domestic
,RDPAug-w1,06/07/2018,08/07/2018,FB100C5001,1000,1,1000,,,USD,Domestic
,RDPAug-w1,07/07/2018,08/07/2018,FB226010,1000,1,1000,,0,USD,Domestic
,17021302,06/19/2018,08/09/2018,FB59811700EX,2439,1,2439,,9,USD,Outiprix
,17021244,06/11/2018,08/13/2018,FB30001700EX,352,1,352,,41.08,USD,NWI
,17021244,06/11/2018,08/13/2018,FB30004300EX,504,1,504,,12.57,USD,NWI
,17021244,06/11/2018,08/13/2018,FB55102400EX,180,1,180,,77.18,USD,NWI
,17021244,06/11/2018,08/13/2018,FB55001700EX,192,1,192,,45.49,USD,NWI
,17021244,06/11/2018,08/13/2018,FB30007800EX,210,1,210,,21.11,USD,NWI
,RDPAug-w2,06/07/2018,08/14/2018,FC250C20N,3696,1,3696,,,USD,Domestic
,RDPAug-w2,07/07/2018,08/14/2018,FB100C5001,485,1,485,,0,USD,Domestic
,17021299,06/15/2018,08/20/2018,FB28001700EX,452,1,452,,41.08,USD,NWI
,17021299,06/15/2018,08/20/2018,FB30013000EX,270,1,270,,14.51,USD,NWI
,17021299,06/15/2018,08/20/2018,FB28001701EX,608,1,608,,38.22,USD,NWI
,17021306,06/21/2018,08/20/2018,FB30100800EX,440,1,440,,32.5,USD,NWI
,17021306,06/21/2018,08/20/2018,FB55102400EX,198,1,198,,77.18,USD,NWI
,17021306,06/21/2018,08/20/2018,FB28002400EX,504,1,504,,48.64,USD,NWI
,4501664623,06/01/2018,08/20/2018,FM01205000GC,150,1,150,,180,USD,"NATURALLE LLC, UAE"
,4501664623,06/01/2018,08/20/2018,FM01210000GC,200,1,200,,180,USD,"NATURALLE LLC, UAE"
,4501664623,06/01/2018,08/20/2018,FM02205000GC,150,1,150,,180,USD,"NATURALLE LLC, UAE"
,4501664623,06/01/2018,08/20/2018,FM02210000GC,200,1,200,,180,USD,"NATURALLE LLC, UAE"
,17021101,06/30/2018,08/21/2018,FB160150GCZ,584,1,584,,24.72,USD,Mattes Trading
,17021101,06/30/2018,08/21/2018,FB262100W0EX,280,1,280,,13.74,USD,Mattes Trading
,17021102,06/30/2018,08/21/2018,FB34705000CZ,280,1,280,,13.32,USD,Mattes Trading
,17021678,08/02/2018,08/21/2018,FB39000801EX,100,1,100,,29.5,USD,NWI
,17021678,08/02/2018,08/21/2018,FB39007100EX,924,1,924,,26.47,USD,NWI
,17021103L5,07/02/2018,08/21/2018,FB24312000EX,3560,1,3560,,16,USD,Olman LLC
,RDPAug-w3,06/07/2018,08/21/2018,FB226010,500,1,500,,,USD,Domestic
,RDPAug-w3,07/07/2018,08/21/2018,FB150C10,2000,1,2000,,,USD,Domestic
,RDPAug-w3,07/14/2018,08/21/2018,FB138C5001,800,1,800,,0,USD,Domestic
,Aug-plan,06/15/2018,08/25/2018,FB050025A0EX,0,1,0,,,USD,Myanmar
,Aug-plan,06/15/2018,08/25/2018,FB050050A0EX,0,1,0,,,USD,Myanmar
