so,so_date,so_del_date,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer,fgcode_id
17021225,24-03-2018,28-05-2018,175,1,175,,45.49,USD,NWI,338
17021227,05-04-2018,11-06-2018,280,1,280,,61,USD,NWI,260
17021227,05-04-2018,11-06-2018,648,1,648,,17.51,USD,NWI,263
17021227,05-04-2018,11-06-2018,288,1,288,,27.91,USD,NWI,264
17021227,05-04-2018,11-06-2018,200,1,200,,17.67,USD,NWI,259
17021227,05-04-2018,11-06-2018,197,1,197,,28.4,USD,NWI,254
17021227,05-04-2018,11-06-2018,480,1,480,,10.71,USD,NWI,280
17021229,16-04-2018,13-06-2018,650,1,650,,60.48,USD,Apeiron,55
17021229,16-04-2018,13-06-2018,348,1,348,,59.76,USD,Apeiron,21
17021230,16-04-2018,14-06-2018,366,1,366,,25.92,USD,Karsten Intl ,300
17021235,09-05-2018,16-07-2018,210,1,210,,23.97,USD,NWI,273
17021235,09-05-2018,16-07-2018,360,1,360,,14.51,USD,NWI,265
17021235,09-05-2018,16-07-2018,216,1,216,,17.51,USD,NWI,263
17021235,09-05-2018,16-07-2018,187,1,187,,27.91,USD,NWI,264
17021235,09-05-2018,16-07-2018,216,1,216,,16.99,USD,NWI,67
17021235,09-05-2018,16-07-2018,192,1,192,,19.66,USD,NWI,277
17021235,09-05-2018,16-07-2018,504,1,504,,21.17,USD,NWI,278
17021235,09-05-2018,16-07-2018,179,1,179,,37,USD,NWI,279
17021235,09-05-2018,16-07-2018,240,1,240,,10.71,USD,NWI,280
17021236,17-05-2018,10-09-2018,50,1,50,,20.02,USD,LASCO,309
17021236,17-05-2018,10-09-2018,692,1,692,,14.54,USD,LASCO,310
17021236,17-05-2018,10-09-2018,540,1,540,,22.32,USD,LASCO,308
17021236,17-05-2018,10-09-2018,50,1,50,,20.74,USD,LASCO,314
17021236,17-05-2018,10-09-2018,602,1,602,,16.13,USD,LASCO,315
17021236,17-05-2018,10-09-2018,450,1,450,,24.77,USD,LASCO,313
17021236,17-05-2018,10-09-2018,50,1,50,,21.46,USD,LASCO,316
17021236,17-05-2018,10-09-2018,400,1,400,,28.42,USD,LASCO,317
17021236,17-05-2018,10-09-2018,50,1,50,,25.2,USD,LASCO,319
17021236,17-05-2018,10-09-2018,300,1,300,,31.49,USD,LASCO,318
17021236,17-05-2018,10-09-2018,50,1,50,,29.52,USD,LASCO,312
17021236,17-05-2018,10-09-2018,360,1,360,,15.1,USD,LASCO,311
17021237,17-05-2018,25-07-2018,132,1,132,,69.12,USD,Logwood Company,291
17021240,18-05-2018,23-07-2018,504,1,504,,12.57,USD,NWI,270
17021240,18-05-2018,23-07-2018,210,1,210,,23.97,USD,NWI,273
17021240,18-05-2018,23-07-2018,456,1,456,,48.64,USD,NWI,374
17021240,18-05-2018,23-07-2018,252,1,252,,21.11,USD,NWI,371
17021241,02-06-2018,06-08-2018,608,1,608,,38.22,USD,NWI,267
17021241,02-06-2018,06-08-2018,210,1,210,,21.11,USD,NWI,272
17021241,02-06-2018,06-08-2018,270,1,270,,14.51,USD,NWI,265
17021241,02-06-2018,06-08-2018,198,1,198,,77.18,USD,NWI,339
17021242,05-06-2018,07-08-2018,198,1,198,,65.76,USD,NWI,262
17021242,05-06-2018,07-08-2018,864,1,864,,17.51,USD,NWI,263
17021242,05-06-2018,07-08-2018,216,1,216,,27.91,USD,NWI,264
17021242,05-06-2018,07-08-2018,216,1,216,,21.17,USD,NWI,278
17021242,05-06-2018,07-08-2018,588,1,588,,18.9,USD,NWI,283
17021243,05-06-2018,07-08-2018,461,1,461,,48.64,USD,NWI,269
17021243,05-06-2018,07-08-2018,600,1,600,,15.4,USD,NWI,268
17021243,05-06-2018,07-08-2018,216,1,216,,55.4,USD,NWI,256
17021243,05-06-2018,07-08-2018,240,1,240,,64.8,USD,NWI,257
17021244,11-06-2018,13-08-2018,352,1,352,,41.08,USD,NWI,376
17021244,11-06-2018,13-08-2018,504,1,504,,12.57,USD,NWI,375
17021244,11-06-2018,13-08-2018,210,1,210,,21.11,USD,NWI,371
17021244,11-06-2018,13-08-2018,192,1,192,,45.49,USD,NWI,338
17021244,11-06-2018,13-08-2018,180,1,180,,77.18,USD,NWI,339
17021246,23-06-2018,27-08-2018,262,1,262,,61,USD,NWI,260
17021246,23-06-2018,27-08-2018,216,1,216,,17.51,USD,NWI,263
17021246,23-06-2018,27-08-2018,216,1,216,,27.91,USD,NWI,264
17021246,23-06-2018,27-08-2018,504,1,504,,55.4,USD,NWI,256
17021246,23-06-2018,27-08-2018,540,1,540,,16.99,USD,NWI,67
17021246,23-06-2018,27-08-2018,200,1,200,,28.4,USD,NWI,254
17021246,23-06-2018,27-08-2018,192,1,192,,19.66,USD,NWI,277
